Town_ID,Town_Name,County,Population,Square_MI,Altitude,Postal_Code,URL,Office_Phone,Clerk_Email
8,Avery's Gore,Essex,0,17.6,2251,5907,,NULL,NULL
36,Buels Gore,Chittenden,12,5.1,1165,5487,NULL,NULL,NULL
75,Ferdinand,Essex,33,53,1275,5905,NULL,NULL,NULL
84,Granby,Essex,86,39.1,1500,5840,NULL,802-328-3611,granby@wildblue.net
59,Derby,Orleans,4604,57.6,1011,5829,http://derbyvt.org/,802-766-4906,derbytownclerk@derbyvt.org
47,Chelsea,Orange,1250,39.9,840,5038,http://www.chelseavt.org/,802-685-4460,town.clerk@chelseavt.us
124,Marshfield,Washington,1496,43.4,850,5658,http://www.town.marshfield.vt.us,802-426-3305,clerk@town.marshfield.vt.us
115,Lincoln,Addison,1214,44,971,5443,http://lincolnvermont.org/,802-453-2980,clerk@lincolnvermont.org
7,Averill,Essex,8,38.1,1744,5901,,NULL,NULL
138,New Haven,Addison,1666,41.8,454,5472,http://newhavenvt.com/,802-453-3516,newhavenclerk@gmavt.net
245,Williston,Chittenden,1650,30.7,501,5495,http://town.williston.vt.us,802-878-5121,beckettd@willistontown.com
150,Panton,Addison,682,22,200,5491,http://www.pantonvt.us/,802-475-2333,panton@gmavt.net
68,Enosburgh,Franklin,2788,48.7,422,5450,http://www.enosburghvermont.org/,802-933-4421,enostown@myfairpoint.net
114,Lewis,Essex,0,39.7,1711,5903,NULL,NULL,NULL
102,Ira,Rutland,455,21.3,830,5777,http://www.townofira.com/,802-235-2745,iraclerk@vermontel.com
237,Westminster,Windham,3210,46.1,314,5158,http://westminster.govoffice.com/,802-722-4091,dwoodward@westminstervt.org
128,Middletown Springs,Rutland,823,22.8,850,5757,http://middletownsprings.vt.gov/,802-235-2220,middletown@vermontel.net
37,Burke,Caledonia,1571,34.1,900,5871,http://www.burkevermont.org/,802-467-3717,burke@burkevermont.org
210,Troy,Orleans,1564,36.1,764,5859,http://www.troyvt.org/,802-988-2663,townoftroy@comcast.net
240,Weybridge,Addison,824,17.6,180,5753,http://weybridge.govoffice.com,802-545-2450,curavoo@gmavt.net
160,Pownal,Bennington,3560,46.7,385,5261,http://www.pownal.org/TownOffice/TownOffice.html,802-823-7757,powclerk@sover.net
